t_s,phase,displayed_frames,published,dropped,mailbox_age_ms,upload_count,upload_sum_us,upload_max_ms,rss_kb,footprint_kb,exposed,degraded,producer_fps,producer_rendered,producer_failed
246.994,measure,12333,12333,0,11,12326,7288816,7.741,419620,1490824,1,0,50.05,12333,0
247.997,measure,12383,12383,0,14,12376,7318332,7.741,418376,1490824,1,0,50.00,12383,0
248.995,measure,12433,12433,0,11,12426,7347636,7.741,417120,1490824,1,0,50.00,12433,0
250.005,measure,12483,12484,0,0,12476,7376801,7.741,415876,1490824,1,0,49.95,12484,0
251.004,measure,12533,12534,0,1,12526,7406357,7.741,414636,1490824,1,0,50.00,12534,0
252.004,measure,12583,12584,0,1,12576,7435908,7.741,413384,1490824,1,0,50.00,12584,0
252.994,measure,12633,12633,0,10,12626,7465125,7.741,412148,1490824,1,0,50.00,12633,0
253.996,measure,12683,12683,0,13,12676,7494199,7.741,410916,1490824,1,0,50.00,12683,0
255.003,measure,12733,12734,0,0,12726,7523595,7.741,411332,1490824,1,0,50.05,12734,0
256.004,measure,12783,12784,0,0,12776,7553298,7.741,410076,1490764,1,0,50.00,12784,0
256.998,measure,12833,12833,0,15,12826,7582495,7.741,408852,1490764,1,0,50.00,12833,0
258.003,measure,12883,12884,0,0,12876,7611946,7.741,407744,1490764,1,0,49.95,12884,0
259.003,measure,12933,12934,0,0,12926,7641679,7.741,406524,1490764,1,0,50.00,12934,0
259.996,measure,12983,12983,0,13,12976,7671300,7.741,405292,1490764,1,0,50.00,12983,0
260.995,measure,13033,13033,0,12,13026,7700797,7.741,404068,1490764,1,0,50.05,13033,0
262.003,measure,13083,13084,0,0,13076,7730373,7.741,402844,1490764,1,0,50.00,13084,0
262.996,measure,13133,13133,0,12,13126,7759897,7.741,401632,1490764,1,0,50.00,13133,0
263.995,measure,13183,13183,0,11,13176,7789832,7.741,400424,1490764,1,0,50.00,13183,0
265.006,measure,13233,13234,0,0,13226,7819727,7.741,399220,1490764,1,0,50.00,13234,0
266.003,measure,13283,13284,0,0,13276,7852385,7.741,398024,1490764,1,0,49.95,13284,0
267.004,measure,13333,13334,0,0,13326,7884661,7.741,396824,1490764,1,0,49.90,13334,0
267.996,measure,13383,13383,0,13,13376,7916774,7.741,395628,1490764,1,0,50.10,13383,0
268.994,measure,13433,13433,0,10,13426,7948141,7.741,394432,1490764,1,0,50.05,13433,0
270.004,measure,13483,13484,0,0,13476,7979340,7.741,393240,1490764,1,0,50.00,13484,0
271.004,measure,13533,13534,0,1,13526,8010574,7.741,392064,1490764,1,0,50.00,13534,0
272.004,measure,13583,13584,0,0,13576,8042652,7.741,390884,1490764,1,0,49.95,13584,0
272.995,measure,13633,13633,0,12,13626,8074281,7.741,389708,1490764,1,0,50.00,13633,0
273.995,measure,13683,13683,0,11,13676,8105333,7.741,388536,1490764,1,0,50.00,13683,0
274.995,measure,13733,13733,0,11,13726,8136583,7.741,387360,1490764,1,0,50.00,13733,0
